301337,N亚华,%64.08,53.49
301041,金百泽,%20.02,31.66
688416,恒烁股份,%20.0,90.72
301038,深水规院,%20.0,21.0
300510,金冠股份,%17.58,8.16
301391,卡莱特,%16.47,122.92
300280,紫天科技,%15.91,42.4
300897,山科智能,%15.65,41.6
300620,光库科技,%15.34,52.48
688182,灿勤科技,%15.3,24.04
300476,胜宏科技,%15.15,23.11
301151,冠龙节能,%14.96,19.98
688256,寒武纪-U,%14.04,221.8
300042,朗科科技,%13.94,39.8
300192,科德教育,%13.28,14.42
300508,维宏股份,%12.2,36.34
300709,精研科技,%12.15,25.57
301270,汉仪股份,%11.42,62.95
300302,同有科技,%11.13,13.18
300654,世纪天鸿,%11.0,15.84
688004,博汇科技,%10.95,38.8
688590,新致软件,%10.44,16.4
002708,光洋股份,%10.06,6.78
002173,创新医疗,%10.06,7.88
002205,国统股份,%10.04,12.06
000676,智度股份,%10.03,7.24
003037,三和管桩,%10.03,13.06
002261,拓维信息,%10.02,13.39
603869,新智认知,%10.02,10.1
601900,南方传媒,%10.02,19.88
002995,天地在线,%10.01,31.31
688088,虹软科技,%10.01,39.77
603918,金桥信息,%10.01,24.83
002761,浙江建投,%10.01,18.02
003004,声迅股份,%10.01,31.1
002229,鸿博股份,%10.01,25.94
603196,日播时尚,%10.01,26.16
605133,嵘泰股份,%10.0,35.08
301337,N亚华,%64.08,53.49
301041,金百泽,%20.02,31.66
688416,恒烁股份,%20.0,90.72
301038,深水规院,%20.0,21.0
300510,金冠股份,%17.58,8.16
301391,卡莱特,%16.47,122.92
300280,紫天科技,%15.91,42.4
300897,山科智能,%15.65,41.6
300620,光库科技,%15.34,52.48
688182,灿勤科技,%15.3,24.04
300476,胜宏科技,%15.15,23.11
301151,冠龙节能,%14.96,19.98
688256,寒武纪-U,%14.04,221.8
300042,朗科科技,%13.94,39.8
300192,科德教育,%13.28,14.42
300508,维宏股份,%12.2,36.34
300709,精研科技,%12.15,25.57
301270,汉仪股份,%11.42,62.95
300302,同有科技,%11.13,13.18
300654,世纪天鸿,%11.0,15.84
688004,博汇科技,%10.95,38.8
688590,新致软件,%10.44,16.4
002708,光洋股份,%10.06,6.78
002173,创新医疗,%10.06,7.88
002205,国统股份,%10.04,12.06
000676,智度股份,%10.03,7.24
003037,三和管桩,%10.03,13.06
002261,拓维信息,%10.02,13.39
603869,新智认知,%10.02,10.1
601900,南方传媒,%10.02,19.88
002995,天地在线,%10.01,31.31
688088,虹软科技,%10.01,39.77
603918,金桥信息,%10.01,24.83
002761,浙江建投,%10.01,18.02
003004,声迅股份,%10.01,31.1
002229,鸿博股份,%10.01,25.94
603196,日播时尚,%10.01,26.16
605133,嵘泰股份,%10.0,35.08
600960,渤海汽车,%10.0,3.74
301337,N亚华,%64.08,53.49
