证券代码,发布日期,财报日期,净资产收益率,销售净利率,销售毛利率,净利润,每股收益,主营营业收入
sz.300044,2018-03-31,2017-12-31,0.117453,0.12037,0.251081,180373500.81,0.420612,1498494144.88
sz.300044,2019-04-23,2018-12-31,0.032914,0.05833,0.346219,73950932.24,0.096821,1267806109.89
sz.300044,2020-04-28,2019-12-31,-0.233418,-0.367146,0.335002,-468710028.91,-0.593803,1276629503.36
sz.300044,2021-04-29,2020-12-31,-0.03501,-0.036195,0.287428,-56808699.35,-0.075925,1569504579.1
sz.300044,2022-04-28,2021-12-31,-0.306,-0.343732,0.214749,-354867011.34,-0.453169,1032394738.7
sz.300044,2023-04-25,2022-12-31,-0.246571,-0.597601,0.236365,-230806435.42,-0.294064,386221710.8
